ikkajo tachi-ai  ura otoshi	一ヶ条 立合	裏落	ura otoshi	rear drop	ikkajo tachi-ai	section one both standing	katate sode dori (pull)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m09s#t=1h04m09s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=2m04s#t=2m04s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=5m07s#t=5m07s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=21m21s#t=21m21s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=27m02s#t=27m02s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  obi otoshi	一ヶ条 立合	帯落	obi otoshi	belt drop	ikkajo tachi-ai	section one both standing	emon jime	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m15s#t=1h04m15s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=2m28s#t=2m28s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=5m39s#t=5m39s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=21m55s#t=21m55s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=29m15s#t=29m15s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  kiri kaeshi	一ヶ条 立合	切返	kiri kaeshi	cut flip	ikkajo tachi-ai	section one both standing	ryosode dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m22s#t=1h04m22s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=2m54s#t=2m54s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=5m55s#t=5m55s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=22m27s#t=22m27s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=31m17s#t=31m17s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  kote gaeshi	一ヶ条 立合	小手返	kote gaeshi	forearm flip	ikkajo tachi-ai	section one both standing	ryote dori (pull)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m31s#t=1h04m31s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=3m11s#t=3m11s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=6m05s#t=6m05s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=22m59s#t=22m59s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=34m01s#t=34m01s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  shihou nage (omote)	一ヶ条 立合	四方投（表）	shihou nage (omote)	four directions throw (front)	ikkajo tachi-ai	section one both standing	ryote dori (hold)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m39s#t=1h04m39s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=6m32s#t=6m32s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=23m35s#t=23m35s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=36m07s#t=36m07s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  shihou nage (ura)	一ヶ条 立合	四方投（裏）	shihou nage (ura)	four directions throw (rear)	ikkajo tachi-ai	section one both standing	ryote dori (hold)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m45s#t=1h04m45s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=3m34s#t=3m34s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=6m18s#t=6m18s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=24m12s#t=24m12s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=38m33s#t=38m33s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo ushiro-dori  tachi eri dori	一ヶ条 後捕	立襟捕	tachi eri dori	standing-collar capture	ikkajo ushiro-dori	section one rear capture	katate tachi-eri dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h04m58s#t=1h04m58s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=0m11s#t=0m11s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=1m29s#t=1m29s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=6m57s#t=6m57s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=24m51s#t=24m51s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=40m22s#t=40m22s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo ushiro-dori  ryo kata hineri	一ヶ条 後捕	両肩捻	ryo kata hineri	both shoulders twist	ikkajo ushiro-dori	section one rear capture	ryokata dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h05m09s#t=1h05m09s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=0m25s#t=0m25s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=1m44s#t=1m44s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=7m33s#t=7m33s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=25m29s#t=25m29s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=42m25s#t=42m25s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo ushiro-dori  ryo hiji gaeshi	一ヶ条 後捕	両肘返	ryo hiji gaeshi	both elbows flip	ikkajo ushiro-dori	section one rear capture	ryohiji dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h05m17s#t=1h05m17s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=0m38s#t=0m38s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=1m57s#t=1m57s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=8m08s#t=8m08s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=26m06s#t=26m06s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=44m56s#t=44m56s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo ushiro-dori  daki jime dori	一ヶ条 後捕	抱締捕	daki jime dori	hug clamp capture	ikkajo ushiro-dori	section one rear capture	daki jime	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h05m25s#t=1h05m25s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=0m49s#t=0m49s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=2m10s#t=2m10s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=8m39s#t=8m39s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=26m39s#t=26m39s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=46m40s#t=46m40s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
