8 kyu	kamae	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=0m55s#t=0m55s">video 1</A>
8 kyu	seiza ho	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=3m56s#t=3m56s">video 1</A>
8 kyu	shikko ho	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=7m17s#t=7m17s">video 1</A>
8 kyu	ukemi	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=28m24s#t=28m24s">video 1</A>
8 kyu	koho ukemi	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=29m02s#t=29m02s">video 1</A>
8 kyu	koho kaiten ukemi	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=30m21s#t=30m21s">video 1</A>
8 kyu	zenpo ukemi	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=31m00s#t=31m00s">video 1</A>
8 kyu	zenpo kaiten ukemi	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=31m18s#t=31m18s">video 1</A>
8 kyu	kihon dosa	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=10m15s#t=10m15s">video 1</A>
8 kyu	tai no henko (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=10m57s#t=10m57s">video 1</A>
8 kyu	tai no henko (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=13m36s#t=13m36s">video 1</A>
8 kyu	hiriki no yosei (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=16m38s#t=16m38s">video 1</A>
8 kyu	hiriki no yosei (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=18m38s#t=18m38s">video 1</A>
8 kyu	shumatsu dosa (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=20m40s#t=20m40s">video 1</A>
8 kyu	shumatsu dosa (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=24m08s#t=24m08s">video 1</A>
7 kyu	kamae with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=3m05s#t=3m05s">video 1</A>
7 kyu	koho ukemi application	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=29m39s#t=29m39s">video 1</A>
7 kyu	zenpo kaiten ukemi application	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=31m57s#t=31m57s">video 1</A>
7 kyu	katate-mochi shiho-nage (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=34m21s#t=34m21s">video 1</A>
7 kyu	katate-mochi shiho-nage (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=36m40s#t=36m40s">video 1</A>
7 kyu	shomen-uchi ikkajo-osae (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h00m46s#t=1h00m46s">video 1</A>
7 kyu	shomen-uchi ikkajo-osae (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h03m57s#t=1h03m57s">video 1</A>
6 kyu	shomen-uchi shomen irimi-nage (1)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=42m15s#t=42m15s">video 1</A>
6 kyu	shomen-tsuki go-waza	<A href="http://www.youtube.com/watch?v=zPzNbrn210o&t=0m00s#t=0m00s">video 1</A>
5 kyu	tai no henko (1) with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=12m55s#t=12m55s">video 1</A>
5 kyu	tai no henko (2) with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=15m02s#t=15m02s">video 1</A>
5 kyu	tai no henko renzoku dosa	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=15m41s#t=15m41s">video 1</A>
5 kyu	tai no henko kaiten dosa	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=16m08s#t=16m08s">video 1</A>
5 kyu	hiriki no yosei (1) with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=18m02s#t=18m02s">video 1</A>
5 kyu	hiriki no yosei (2) with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=19m57s#t=19m57s">video 1</A>
5 kyu	hiriki no yosei (2) application	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=20m27s#t=20m27s">video 1</A>
5 kyu	shumatsu dosa (1) with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=23m16s#t=23m16s">video 1</A>
5 kyu	shumatsu dosa (1) application	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=23m55s#t=23m55s">video 1</A>
5 kyu	shumatsu dosa (2) with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=25m58s#t=25m58s">video 1</A>
5 kyu	shumatsu dosa (2) application	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=26m31s#t=26m31s">video 1</A>
5 kyu	kihon dosa renzoku	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=26m45s#t=26m45s">video 1</A>
5 kyu	katate-mochi nikajo-osae (1)	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=1m47s#t=1m47s">video 1</A>
5 kyu	katate-mochi nikajo-osae (2)	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=6m15s#t=6m15s">video 1</A>
5 kyu	shomen-uchi sankajo-osae (1)	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=57m25s#t=57m25s">video 1</A>
5 kyu	shomen-uchi sankajo-osae (2)	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=1h01m31s#t=1h01m31s">video 1</A>
5 kyu	katate-mochi sokumen irimi-nage (1)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=1m45s#t=1m45s">video 1</A>
5 kyu	yokomen-uchi shomen irimi-nage (2)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=50m23s#t=50m23s">video 1</A>
5 kyu	ippon-me kumite	<A href="http://www.youtube.com/watch?v=dAX4s7G2TK0&t=0m00s#t=0m00s">video 1</A> <br> <A href="http://www.youtube.com/watch?v=BlH8Qmo79w8&t=21m50s#t=21m50s">video 2</A>
5 kyu	shomen-uchi go-waza	<A href="http://www.youtube.com/watch?v=igv6xTwxB40&t=0m00s#t=0m00s">video 1</A>
4 kyu	seiza ho with partner	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=5m31s#t=5m31s">video 1</A>
4 kyu	suwari-waza intro	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=9m26s#t=9m26s">video 1</A>
4 kyu	zenpo hiyaku ukemi	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=32m01s#t=32m01s">video 1</A>
4 kyu	zenpo hiyaku ukemi with horse	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=32m23s#t=32m23s">video 1</A>
4 kyu	zenpo hiyaku ukemi application	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=33m17s#t=33m17s">video 1</A>
4 kyu	shomen-uchi yonkajo-osae (1)	<A href="http://www.youtube.com/watch?v=v0tuWpU3tB4&t=1h52m23s#t=1h52m23s">video 1</A>
