3 kyu	ushiro-ryote-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h40m09s#t=1h40m09s
3 kyu	suwari-waza katate-mochi nikajo-osae (1)	https://aiki.info/y2?t=4m18s#t=4m18s
3 kyu	suwari-waza katate-mochi nikajo-osae (2)	https://aiki.info/y2?t=7m43s#t=7m43s
3 kyu	kata-mochi nikajo-osae (1)	https://aiki.info/y2?t=29m18s#t=29m18s
3 kyu	suwari-waza kata-mochi nikajo-osae (1)	https://aiki.info/y2?t=31m27s#t=31m27s
3 kyu	kata-mochi nikajo-osae (2)	https://aiki.info/y2?t=33m10s#t=33m10s
3 kyu	suwari-waza kata-mochi nikajo-osae (2)	https://aiki.info/y2?t=34m52s#t=34m52s
3 kyu	shomen-uchi nikajo-osae (1)	https://aiki.info/y2?t=42m40s#t=42m40s
3 kyu	suwari-waza shomen-uchi nikajo-osae (1)	https://aiki.info/y2?t=44m18s#t=44m18s
3 kyu	shomen-uchi nikajo-osae (2)	https://aiki.info/y2?t=45m50s#t=45m50s
3 kyu	suwari-waza shomen-uchi nikajo-osae (2)	https://aiki.info/y2?t=46m59s#t=46m59s
3 kyu	suwari-waza shomen-uchi sankajo-osae (1)	https://aiki.info/y2?t=59m47s#t=59m47s
3 kyu	suwari-waza shomen-uchi sankajo-osae (2)	https://aiki.info/y2?t=1h04m23s#t=1h04m23s
3 kyu	yokomen-uchi sankajo-osae (1)	https://aiki.info/y2?t=1h06m41s#t=1h06m41s
3 kyu	suwari-waza yokomen-uchi sankajo-osae (1)	https://aiki.info/y2?t=1h08m18s#t=1h08m18s
3 kyu	yokomen-uchi sankajo-osae (2)	https://aiki.info/y2?t=1h10m14s#t=1h10m14s
3 kyu	suwari-waza yokomen-uchi sankajo-osae (2)	https://aiki.info/y2?t=1h12m02s#t=1h12m02s
3 kyu	ushiro-ryote-mochi sankajo-osae (1)	https://aiki.info/y2?t=1h33m44s#t=1h33m44s
3 kyu	ushiro-ryote-mochi sankajo-osae (2)	https://aiki.info/y2?t=1h35m54s#t=1h35m54s
3 kyu	suwari-waza shomen-uchi yonkajo-osae (1)	https://aiki.info/y2?t=1h54m28s#t=1h54m28s
3 kyu	shomen-uchi yonkajo-osae (2)	https://aiki.info/y2?t=1h56m00s#t=1h56m00s
3 kyu	suwari-waza shomen-uchi yonkajo-osae (2)	https://aiki.info/y2?t=1h57m41s#t=1h57m41s
3 kyu	yokomen-uchi yonkajo-osae (1)	https://aiki.info/y2?t=1h59m10s#t=1h59m10s
3 kyu	suwari-waza yokomen-uchi yonkajo-osae (1)	https://aiki.info/y2?t=2h00m42s#t=2h00m42s
3 kyu	yokomen-uchi yonkajo-osae (2)	https://aiki.info/y2?t=2h02m19s#t=2h02m19s
3 kyu	suwari-waza yokomen-uchi yonkajo-osae (2)	https://aiki.info/y2?t=2h03m41s#t=2h03m41s
3 kyu	suwari-waza katate-mochi sokumen irimi-nage (1)	https://aiki.info/y3?t=3m34s#t=3m34s
3 kyu	katate-mochi sokumen irimi-nage (2)	https://aiki.info/y3?t=5m19s#t=5m19s
3 kyu	suwari-waza katate-mochi sokumen irimi-nage (2)	https://aiki.info/y3?t=6m28s#t=6m28s
3 kyu	suwari-waza kata-mochi sokumen irimi-nage (1)	https://aiki.info/y3?t=14m37s#t=14m37s
3 kyu	kata-mochi sokumen irimi-nage (2)	https://aiki.info/y3?t=16m00s#t=16m00s
3 kyu	suwari-waza kata-mochi sokumen irimi-nage (2)	https://aiki.info/y3?t=17m20s#t=17m20s
3 kyu	shomen-uchi shomen irimi-nage (1)	https://aiki.info/y3?t=42m15s#t=42m15s
3 kyu	suwari-waza shomen-uchi shomen irimi-nage (1)	https://aiki.info/y3?t=43m45s#t=43m45s
3 kyu	shomen-uchi shomen irimi-nage (2)	https://aiki.info/y3?t=45m01s#t=45m01s
3 kyu	suwari-waza shomen-uchi shomen irimi-nage (2)	https://aiki.info/y3?t=46m37s#t=46m37s
3 kyu	yokomen-uchi shomen irimi-nage (1)	https://aiki.info/y3?t=48m01s#t=48m01s
3 kyu	suwari-waza yokomen-uchi shomen irimi-nage (1)	https://aiki.info/y3?t=49m10s#t=49m10s
3 kyu	suwari-waza yokomen-uchi shomen irimi-nage (2)	https://aiki.info/y3?t=51m50s#t=51m50s
3 kyu	shomen-uchi hiji-shime (1)	https://aiki.info/y3?t=1h13m26s#t=1h13m26s
3 kyu	suwari-waza shomen-uchi hiji-shime (1)	https://aiki.info/y3?t=1h15m18s#t=1h15m18s
3 kyu	shomen-uchi hiji-shime (2)	https://aiki.info/y3?t=1h16m45s#t=1h16m45s
3 kyu	suwari-waza shomen-uchi hiji-shime (2)	https://aiki.info/y3?t=1h17m46s#t=1h17m46s
3 kyu	yokomen-uchi hiji-shime (1)	https://aiki.info/y3?t=1h18m59s#t=1h18m59s
3 kyu	suwari-waza yokomen-uchi hiji-shime (1)	https://aiki.info/y3?t=1h20m09s#t=1h20m09s
3 kyu	yokomen-uchi hiji-shime (2)	https://aiki.info/y3?t=1h21m29s#t=1h21m29s
3 kyu	suwari-waza yokomen-uchi hiji-shime (2)	https://aiki.info/y3?t=1h22m35s#t=1h22m35s
3 kyu	kata-mochi hiji-shime (1)	https://aiki.info/y3?t=1h29m21s#t=1h29m21s
3 kyu	suwari-waza kata-mochi hiji-shime (1)	https://aiki.info/y3?t=1h30m50s#t=1h30m50s
3 kyu	kata-mochi hiji-shime (2)	https://aiki.info/y3?t=1h32m27s#t=1h32m27s
3 kyu	suwari-waza kata-mochi hiji-shime (2)	https://aiki.info/y3?t=1h33m42s#t=1h33m42s
3 kyu	mune-mochi hiji-shime (1)	https://aiki.info/y3?t=1h35m10s#t=1h35m10s
3 kyu	suwari-waza mune-mochi hiji-shime (1)	https://aiki.info/y3?t=1h37m00s#t=1h37m00s
3 kyu	suwari-waza mune-mochi hiji-shime (2)	https://aiki.info/y3?t=1h40m01s#t=1h40m01s
3 kyu	shomen-uchi kote-gaeshi (1)	https://aiki.info/y3?t=2h16m22s#t=2h16m22s
3 kyu	suwari-waza shomen-uchi kote-gaeshi (1)	https://aiki.info/y3?t=2h19m21s#t=2h19m21s
3 kyu	suwari-waza shomen-uchi kote-gaeshi (2)	https://aiki.info/y3?t=2h23m27s#t=2h23m27s
3 kyu	yokomen-uchi kote-gaeshi (1)	https://aiki.info/y3?t=2h25m04s#t=2h25m04s
3 kyu	suwari-waza yokomen-uchi kote-gaeshi (1)	https://aiki.info/y3?t=2h27m08s#t=2h27m08s
3 kyu	yokomen-uchi kote-gaeshi (2)	https://aiki.info/y3?t=2h29m12s#t=2h29m12s
3 kyu	suwari-waza yokomen-uchi kote-gaeshi (2)	https://aiki.info/y3?t=2h31m00s#t=2h31m00s
3 kyu	suwari-waza ryote-mochi tenchi-nage (1)	https://aiki.info/y3?t=3h03m39s#t=3h03m39s
3 kyu	suwari-waza ryote-mochi kokyu-ho (2)	https://aiki.info/y3?t=3h09m49s#t=3h09m49s
1 dan	shomen-uchi shiho-nage	https://aiki.info/y1?t=47m10s#t=47m10s
1 dan	hanmi-handachi katate-mochi shiho-nage (1)	https://aiki.info/y1?t=49m26s#t=49m26s
1 dan	hanmi-handachi katate-mochi shiho-nage (2)	https://aiki.info/y1?t=52m00s#t=52m00s
1 dan	katate-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h13m04s#t=1h13m04s
1 dan	suwari-waza katate-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h15m00s#t=1h15m00s
1 dan	katate-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h16m27s#t=1h16m27s
1 dan	suwari-waza katate-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h17m40s#t=1h17m40s
1 dan	ushiro-katate-eri-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h42m04s#t=1h42m04s
1 dan	ushiro-katate-eri-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h43m41s#t=1h43m41s
1 dan	yokomen-uchi nikajo-osae (1)	https://aiki.info/y2?t=48m20s#t=48m20s
1 dan	suwari-waza yokomen-uchi nikajo-osae (1)	https://aiki.info/y2?t=49m53s#t=49m53s
1 dan	yokomen-uchi nikajo-osae (2)	https://aiki.info/y2?t=51m36s#t=51m36s
1 dan	suwari-waza yokomen-uchi nikajo-osae (2)	https://aiki.info/y2?t=52m54s#t=52m54s
1 dan	kata-mochi sankajo-osae (1)	https://aiki.info/y2?t=1h27m40s#t=1h27m40s
1 dan	suwari-waza kata-mochi sankajo-osae (1)	https://aiki.info/y2?t=1h29m00s#t=1h29m00s
1 dan	kata-mochi sankajo-osae (2)	https://aiki.info/y2?t=1h30m37s#t=1h30m37s
1 dan	suwari-waza kata-mochi sankajo-osae (2)	https://aiki.info/y2?t=1h32m04s#t=1h32m04s
1 dan	ushiro-katate-eri-mochi sankajo-osae (1)	https://aiki.info/y2?t=1h37m49s#t=1h37m49s
1 dan	ushiro-katate-eri-mochi sankajo-osae (2)	https://aiki.info/y2?t=1h39m23s#t=1h39m23s
1 dan	katate-mochi yonkajo-osae (1)	https://aiki.info/y2?t=2h05m11s#t=2h05m11s
1 dan	katate-mochi yonkajo-osae (2)	https://aiki.info/y2?t=2h08m47s#t=2h08m47s
1 dan	suwari-waza katate-mochi yonkajo-osae (1)	https://aiki.info/y2?t=2h07m03s#t=2h07m03s
1 dan	suwari-waza katate-mochi yonkajo-osae (2)	https://aiki.info/y2?t=2h10m14s#t=2h10m14s
1 dan	katate-mochi hiji-ate-kokyu-nage (1)	https://aiki.info/y3?t=2h00m50s#t=2h00m50s
1 dan	suwari-waza katate-mochi hiji-ate-kokyu-nage (1)	https://aiki.info/y3?t=2h01m55s#t=2h01m55s
1 dan	katate-mochi hiji-ate-kokyu-nage (2)	https://aiki.info/y3?t=2h03m02s#t=2h03m02s
1 dan	suwari-waza katate-mochi hiji-ate-kokyu-nage (2)	https://aiki.info/y3?t=2h04m09s#t=2h04m09s
1 dan	shomen-uchi hiji-ate-kokyu-nage (1)	https://aiki.info/y3?t=1h46m59s#t=1h46m59s
1 dan	suwari-waza shomen-uchi hiji-ate-kokyu-nage (1)	https://aiki.info/y3?t=1h48m22s#t=1h48m22s
1 dan	shomen-uchi hiji-ate-kokyu-nage (2)	https://aiki.info/y3?t=1h49m27s#t=1h49m27s
1 dan	suwari-waza shomen-uchi hiji-ate-kokyu-nage (2)	https://aiki.info/y3?t=1h50m27s#t=1h50m27s
1 dan	suwari-waza shomen-tsuki kote-gaeshi (1)	https://aiki.info/y3?t=2h34m36s#t=2h34m36s
1 dan	shomen-tsuki kote-gaeshi (2)	https://aiki.info/y3?t=2h36m27s#t=2h36m27s
1 dan	suwari-waza shomen-tsuki kote-gaeshi (2)	https://aiki.info/y3?t=2h38m11s#t=2h38m11s
1 dan	ryote-mochi tenchi-nage (2)	https://aiki.info/y3?t=3h04m47s#t=3h04m47s
1 dan	suwari-waza ryote-mochi tenchi-nage (2)	https://aiki.info/y3?t=3h06m10s#t=3h06m10s
1 dan	suwari-waza ryote-mochi kokyu-ho (3)	https://aiki.info/y3?t=3h11m25s#t=3h11m25s
1 dan	shomen-uchi jiyu-waza	https://aiki.info/y3?t=3h18m09s#t=3h18m09s
1 dan	yokomen-uchi jiyu-waza	https://aiki.info/y3?t=3h18m38s#t=3h18m38s
1 dan	katate-mochi jiyu-waza	https://aiki.info/y3?t=3h20m17s#t=3h20m17s
1 dan	ryote-mochi jiyu-waza	https://aiki.info/y3?t=3h20m48s#t=3h20m48s
1 dan	shomen-tsuki jiyu-waza	https://aiki.info/y3?t=3h19m15s#t=3h19m15s
2 dan	ryote-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h18m59s#t=1h18m59s
2 dan	suwari-waza ryote-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h20m36s#t=1h20m36s
2 dan	ryote-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h22m11s#t=1h22m11s
2 dan	suwari-waza ryote-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h23m19s#t=1h23m19s
2 dan	hiji-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h24m41s#t=1h24m41s
2 dan	suwari-waza hiji-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h26m36s#t=1h26m36s
2 dan	hiji-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h28m18s#t=1h28m18s
2 dan	suwari-waza hiji-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h29m37s#t=1h29m37s
2 dan	mune-mochi ikkajo-osae (1)
2 dan	suwari-waza mune-mochi ikkajo-osae (1)
2 dan	mune-mochi ikkajo-osae (2)
2 dan	suwari-waza mune-mochi ikkajo-osae (2)
2 dan	ushiro-ryohiji-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h48m55s#t=1h48m55s
2 dan	ushiro-ryohiji-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h50m56s#t=1h50m56s
2 dan	ushiro-ryokata-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h52m13s#t=1h52m13s
